"idade","sexo","racacor","causabas","ano","n"
"< 1","M","Bra","XI","2011",2
"< 1","M","Bra","XI","2012",2
"< 1","M","Bra","XI","2013",3
"< 1","M","Bra","XI","2014",3
"< 1","M","Bra","XI","2015",2
"< 1","M","Bra","XI","2016",2
"< 1","M","Bra","XI","2017",1
"< 1","M","Bra","XII","2009",2
"< 1","M","Bra","XII","2011",1
"< 1","M","Bra","XII","2016",1
"< 1","M","Bra","XIV","2008",1
"< 1","M","Bra","XIV","2009",3
"< 1","M","Bra","XIV","2013",2
"< 1","M","Bra","XIV","2015",1
"< 1","M","Bra","XIV","2016",1
"< 1","M","Bra","XIV","2017",4
"< 1","M","Bra","XVI","2006",146
"< 1","M","Bra","XVI","2007",164
"< 1","M","Bra","XVI","2008",115
"< 1","M","Bra","XVI","2009",139
"< 1","M","Bra","XVI","2010",122
"< 1","M","Bra","XVI","2011",136
"< 1","M","Bra","XVI","2012",131
"< 1","M","Bra","XVI","2013",116
"< 1","M","Bra","XVI","2014",117
"< 1","M","Bra","XVI","2015",86
"< 1","M","Bra","XVI","2016",95
"< 1","M","Bra","XVI","2017",82
"< 1","M","Bra","XVII","2006",37
"< 1","M","Bra","XVII","2007",43
"< 1","M","Bra","XVII","2008",46
"< 1","M","Bra","XVII","2009",35
"< 1","M","Bra","XVII","2010",29
"< 1","M","Bra","XVII","2011",42
"< 1","M","Bra","XVII","2012",33
"< 1","M","Bra","XVII","2013",26
"< 1","M","Bra","XVII","2014",28
"< 1","M","Bra","XVII","2015",30
"< 1","M","Bra","XVII","2016",30
"< 1","M","Bra","XVII","2017",30
"< 1","M","Bra","XVIII","2006",12
"< 1","M","Bra","XVIII","2007",7
"< 1","M","Bra","XVIII","2008",10
"< 1","M","Bra","XVIII","2009",14
"< 1","M","Bra","XVIII","2010",9
"< 1","M","Bra","XVIII","2011",7
"< 1","M","Bra","XVIII","2012",11
"< 1","M","Bra","XVIII","2013",13
"< 1","M","Bra","XVIII","2014",11
"< 1","M","Bra","XVIII","2015",7
"< 1","M","Bra","XVIII","2016",11
"< 1","M","Bra","XVIII","2017",7
"< 1","M","Bra","XX","2006",3
"< 1","M","Bra","XX","2007",3
