CODMUNOCOR,I,II,III,IV,IX,V,VI,VII,VIII,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XX,n,ds_nomepad,in_pobreza,nu_latitud,nu_longit
291530,1,1,"","",4,"","","","",2,2,"","","","","","",21,12,43,ITAGIMIRIM,N,"-16,08814","-39,61519"
110020,"","","","","","","","","","","","","","","","","","",1,1,PORTO VELHO,N,"-8,76889","-63,83145"
522220,"","","","","","","","","","","","","","","","","","",1,1,VILA BOA,S,"-15,03489","-47,05736"
351880,"",2,"","",2,"","","","","","","","","","","",1,"",1,6,GUARULHOS,N,"-23,46851","-46,53108"
260980,"","","","",1,"","","","",1,"","","","","","","","","",2,OROCO,S,"-8,61795","-39,59525"
320305,"","","","","","","","","","","","","","","","","","",1,1,JAGUARE,N,"-18,90044","-40,08614"
270800,1,"","","","","","","","","","","","","","","","","","",1,SANTANA DO IPANEMA,S,"-9,37228","-37,24541"
314675,"","","","","","","","","","","","","","","","","","",2,2,PALMOPOLIS,S,"-16,73447","-40,42040"
280300,"","","","",1,"","","","","","","","","","","","","","",1,ITABAIANINHA,N,"-11,27679","-37,78741"
317040,"","","","","","","","","","","","","","","","","","",2,2,UNAI,N,"-16,35901","-46,89996"
351620,"","","","",1,"","","","","","","","","","","","","","",1,FRANCA,N,"-20,53610","-47,40233"
351630,"","","","",1,"","","","","","","","","","","","","","",1,FRANCISCO MORATO,N,"-23,27583","-46,73253"
350900,"","","","","","","","","","","","","","","","","","",1,1,CAIEIRAS,N,"-23,36212","-46,74410"
270240,"","","","","","","","","","","","","","","","","","",6,6,DELMIRO GOUVEIA,S,"-9,38457","-37,99923"
330130,"",1,"","","","","","","","","","","","","","","","","",1,CASIMIRO DE ABREU,N,"-22,47954","-42,20421"
317020,1,"","","","","","","","","","","","","","","","","",2,3,UBERLANDIA,N,"-18,91900","-48,27795"
270375,"","","","","","","","","","","","","","","","","","",1,1,JEQUIA DA PRAIA,N,"-10,00959","-36,02733"
420540,"","","","","","","","","","","","","","","","","","",1,1,FLORIANOPOLIS,N,"-27,58780","-48,54764"
